ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
2,6,policy_robustness,shap_gate,0.061794888554807505,0.8057618370464001,39.0,361.0,23.596313484541472,0.0,8.2473238530696,15299.0,945.4
2,7,policy_robustness,shap_gate,0.060636625622216396,0.8102313733814477,53.0,347.0,22.727272727272727,0.0,8.49304906326778,15268.0,925.8
2,8,policy_robustness,shap_gate,0.06429002211351605,0.798405649777968,29.0,371.0,24.86095289150975,0.0,8.834345695421185,14923.0,959.4
2,9,policy_robustness,shap_gate,0.058223416890667,0.8159653149706707,49.0,351.0,21.94161405263487,0.0,9.06890179882055,15997.0,931.4
2,10,policy_robustness,shap_gate,0.05794031524515607,0.816803216121317,50.0,350.0,21.805494984736153,0.0,7.996150287921633,16051.0,930.0
2,11,policy_robustness,shap_gate,0.06140235910878113,0.8074074074074075,45.0,355.0,23.26343381389253,0.0,8.106874112308358,15260.0,937.0
2,12,policy_robustness,shap_gate,0.06295773701538668,0.8034875560114453,45.0,355.0,23.852717866021635,0.0,9.365097066840587,14883.0,937.0
2,13,policy_robustness,shap_gate,0.0642684887459807,0.7984595635430038,29.0,371.0,24.85262593783494,0.0,7.8748072931655635,14928.0,959.4
2,14,policy_robustness,shap_gate,0.060120826709062,0.8100242105805389,39.0,361.0,22.957074721780604,0.02564102564102564,10.692326618414686,15725.0,945.4
2,0,policy_robustness,strict_rul_selected,0.05735641730019804,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,12.177768429751165,15653.0,897.8
2,1,policy_robustness,strict_rul_selected,0.060623494781910627,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,11.543886125702539,14948.0,906.2
2,2,policy_robustness,strict_rul_selected,0.06116406408436422,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,11.741247135919586,14793.0,904.8
2,3,policy_robustness,strict_rul_selected,0.06460724970430669,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,11.920273889212094,14373.0,928.6
2,4,policy_robustness,strict_rul_selected,0.06646412037037036,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,12.189003796659566,13824.0,918.8
2,5,policy_robustness,strict_rul_selected,0.06046854082998661,0.812486404176637,69.0,331.0,22.15528781793842,0.0,12.437252461167903,14940.0,903.4
2,6,policy_robustness,strict_rul_selected,0.06047844339308323,0.8121110449699659,66.0,334.0,22.256280402478843,0.0,11.450584504930628,15007.0,907.6
2,7,policy_robustness,strict_rul_selected,0.06013395847287341,0.8138013735964242,73.0,327.0,21.90221031480241,0.0,12.097408912348184,14930.0,897.8
