ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,false_n,mean_rem,op,total_cost
2,12,gate_control,shap_gate,0.06295773701538668,0.8034875560114453,45.0,355.0,23.852717866021635,0.0,0.0,9.365097066840587,14883.0,937.0
2,12,gate_control,strict_rul_gate,0.06447824926607953,0.797403702915514,24.0,376.0,25.086736055511075,0.0,0.0,9.132440922253998,14988.0,966.4
2,12,gate_control,oracle_false30_gate,0.06228606777098083,0.8076944429023483,67.0,333.0,22.88817100831672,0.0,0.0,12.91392305748038,14549.0,906.2
2,12,gate_control,random_action_matched,0.06338790420782033,0.8024101617631093,45.0,355.0,24.015694763902044,0.0,0.0,12.492353091625468,14782.0,937.0
2,13,gate_control,rul_base,0.06263698863249609,0.8056484782012613,57.0,343.0,23.347627799332926,0.0,0.0,11.815113493247107,14691.0,920.2
2,13,gate_control,shap_gate,0.0642684887459807,0.7984595635430038,29.0,371.0,24.85262593783494,0.0,0.0,7.8748072931655635,14928.0,959.4
2,13,gate_control,strict_rul_gate,0.06495395702655812,0.7956886481894446,19.0,381.0,25.423728813559322,0.0,0.0,9.159262337027007,14986.0,973.4
2,13,gate_control,oracle_false30_gate,0.06263698863249609,0.8056484782012613,57.0,343.0,23.347627799332926,0.0,0.0,11.815113493247107,14691.0,920.2
2,13,gate_control,random_action_matched,0.06443683256095104,0.7980382698182987,29.0,371.0,24.917724494593323,0.0,0.0,12.616939922977892,14889.0,959.4
2,14,gate_control,rul_base,0.05771105478650809,0.8207713234117459,80.0,320.0,20.796776499642554,0.0125,1.0,12.192580673474618,15387.0,888.0
2,14,gate_control,shap_gate,0.060120826709062,0.8100242105805389,39.0,361.0,22.957074721780604,0.02564102564102564,1.0,10.692326618414686,15725.0,945.4
2,14,gate_control,strict_rul_gate,0.060386900998862056,0.8086085267355076,32.0,368.0,23.26463522569225,0.0,0.0,8.394415930246282,15818.0,955.2
2,14,gate_control,oracle_false30_gate,0.05768855973494445,0.8208286674132139,80.0,320.0,20.78867017475476,0.0,0.0,12.086832025983082,15393.0,888.0
2,14,gate_control,random_action_matched,0.0601131811534304,0.8100437805820242,39.0,361.0,22.95415527436892,0.0,0.0,10.731938249851192,15727.0,945.4
5,0,gate_control,rul_base,0.11821250168759283,0.8230914546060674,102.0,298.0,20.11610638585122,0.11764705882352941,12.0,21.269526836249923,14814.0,1751.2
5,0,gate_control,shap_gate,0.12141692217365778,0.8191631486132636,77.0,323.0,21.07117228782047,0.07792207792207792,6.0,17.74028553358421,15329.0,1861.2
5,0,gate_control,strict_rul_gate,0.12002810962754744,0.8208610834338456,73.0,327.0,20.890564109116465,0.0,0.0,12.177768429751165,15653.0,1878.8
5,0,gate_control,oracle_false30_gate,0.11823814655172413,0.823059866962306,101.0,299.0,20.13739224137931,0.0,0.0,20.84761057275503,14848.0,1755.6
5,0,gate_control,random_action_matched,0.12319301032565529,0.8170019467878001,77.0,323.0,21.37940164151443,0.11688311688311688,9.0,21.251594373187913,15108.0,1861.2
5,1,gate_control,rul_base,0.12731231125781303,0.8120330767037354,88.0,312.0,21.911651099094037,0.09090909090909091,8.0,20.57154128469492,14239.0,1812.8
5,1,gate_control,shap_gate,0.12903487978327124,0.8099731197542378,67.0,333.0,22.553335590924483,0.014925373134328358,1.0,15.879280567192493,14765.0,1905.2
5,1,gate_control,strict_rul_gate,0.12745517795022746,0.8118618292417988,67.0,333.0,22.277227722772277,0.0,0.0,11.543886125702539,14948.0,1905.2
5,1,gate_control,oracle_false30_gate,0.12717833590571068,0.8121937321937321,88.0,312.0,21.888592675740142,0.0,0.0,20.39675013181635,14254.0,1812.8
5,1,gate_control,random_action_matched,0.13117598457725144,0.8074271736713364,67.0,333.0,22.927568163040483,0.07462686567164178,5.0,21.0355490000934,14524.0,1905.2
5,2,gate_control,rul_base,0.1286110518455302,0.8104789901435241,89.0,311.0,22.117914799800868,0.02247191011235955,2.0,20.073120317022003,14061.0,1808.4
5,2,gate_control,shap_gate,0.12976846747519294,0.8090990187332738,72.0,328.0,22.601984564498345,0.0,0.0,16.09208853674069,14512.0,1883.2
5,2,gate_control,strict_rul_gate,0.12849320624619753,0.8106197599868485,68.0,332.0,22.443047387277765,0.0,0.0,11.741247135919586,14793.0,1900.8
5,2,gate_control,oracle_false30_gate,0.12856533484999288,0.8105335945603319,89.0,311.0,22.110052609128395,0.0,0.0,20.02991351518685,14066.0,1808.4
5,2,gate_control,random_action_matched,0.1316278744670441,0.8068918842704867,72.0,328.0,22.925840497658488,0.013888888888888888,1.0,20.509234348387288,14307.0,1883.2
5,3,gate_control,rul_base,0.13405247813411078,0.804031879981247,82.0,318.0,23.17784256559767,0.08536585365853659,7.0,21.036589236437614,13720.0,1839.2
5,3,gate_control,shap_gate,0.1369468558119839,0.800644176979149,59.0,341.0,24.06662432070012,0.05084745762711865,3.0,17.92672410022602,14169.0,1940.4
5,3,gate_control,strict_rul_gate,0.1374521672580533,0.8000556637907041,51.0,349.0,24.281639184582204,0.0,0.0,11.920273889212094,14373.0,1975.6
5,3,gate_control,oracle_false30_gate,0.1338865836791148,0.8042269187986651,82.0,318.0,23.14915920506661,0.0,0.0,20.867766561950017,13737.0,1839.2
5,3,gate_control,random_action_matched,0.13884794275491952,0.798434554076444,59.0,341.0,24.40071556350626,0.1016949152542373,6.0,21.142611687646294,13975.0,1940.4
5,4,gate_control,rul_base,0.14150485436893204,0.7953667953667953,76.0,324.0,24.575242718446603,0.05263157894736842,4.0,21.13111741839621,13184.0,1865.6
