ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
10,1,1,risk_gated,0.5,0.26714820408431283,0.7966208087042946,14.0,386.0,25.34637861973866,70.0,0.5714285714285714,39.39744914646992,15229.0
10,1,1,rul_gated,16,0.24180155773789366,0.8099731197542378,67.0,333.0,22.553335590924483,18.0,0.014925373134328358,15.879280567192493,14765.0
20,1,1,reactive,,0.5311912936451383,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
20,1,1,periodic,40,0.4461651376146789,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
20,1,1,risk,0.5,0.5175670989666412,0.7959701904499034,38.0,362.0,25.10576322907275,61.0,0.7894736842105263,54.67833337269681,14419.0
20,1,1,rul,16,0.45598707774422365,0.8120330767037354,88.0,312.0,21.911651099094037,3.0,0.09090909090909091,20.57154128469492,14239.0
20,1,1,risk_gated,0.5,0.5206119902816994,0.7966208087042946,14.0,386.0,25.34637861973866,70.0,0.5714285714285714,39.39744914646992,15229.0
20,1,1,rul_gated,16,0.4673349136471385,0.8099731197542378,67.0,333.0,22.553335590924483,18.0,0.014925373134328358,15.879280567192493,14765.0
2,1,2,reactive,,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,2,periodic,60,0.06270825688073395,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
2,1,2,risk,0.8,0.0651147454497494,0.7942593756547245,9.0,391.0,25.7847533632287,73.0,1.0,62.05788654938129,15164.0
2,1,2,rul,8,0.060622735203328414,0.8120980926430518,69.0,331.0,22.211783653200914,17.0,0.0,12.434267332653413,14902.0
2,1,2,risk_gated,0.8,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,2,rul_gated,8,0.06203412073490813,0.805156382079459,39.0,361.0,23.68766404199475,40.0,0.0,8.332718247128973,15240.0
5,1,2,reactive,,0.14251473731942735,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
5,1,2,periodic,60,0.12788256880733945,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
5,1,2,risk,0.5,0.1407686510926903,0.7962144766268477,33.0,367.0,25.142152497088443,63.0,0.8181818181818182,54.996550480618936,14597.0
5,1,2,rul,16,0.12717659499471273,0.8121958202118523,90.0,310.0,21.854071201973916,2.0,0.07777777777777778,21.148618420445978,14185.0
5,1,2,risk_gated,0.5,0.14037656903765688,0.7966666666666666,12.0,388.0,25.36610878661088,71.0,0.6666666666666666,44.09650033646233,15296.0
5,1,2,rul_gated,16,0.12780580935497068,0.811441850171517,74.0,326.0,22.228283103777443,14.0,0.013513513513513514,16.746718755833218,14666.0
10,1,2,reactive,,0.27207358942799764,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
10,1,2,periodic,40,0.23699082568807336,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
10,1,2,risk,0.5,0.2664794135781325,0.7962144766268477,33.0,367.0,25.142152497088443,63.0,0.8181818181818182,54.996550480618936,14597.0
10,1,2,rul,16,0.2364469510045823,0.8121958202118523,90.0,310.0,21.854071201973916,2.0,0.07777777777777778,21.148618420445978,14185.0
10,1,2,risk_gated,0.5,0.26720711297071126,0.7966666666666666,12.0,388.0,25.36610878661088,71.0,0.6666666666666666,44.09650033646233,15296.0
10,1,2,rul_gated,16,0.23894722487385792,0.811441850171517,74.0,326.0,22.228283103777443,14.0,0.013513513513513514,16.746718755833218,14666.0
20,1,2,reactive,,0.5311912936451383,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
20,1,2,periodic,40,0.4461651376146789,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
20,1,2,risk,0.5,0.517900938549017,0.7962144766268477,33.0,367.0,25.142152497088443,63.0,0.8181818181818182,54.996550480618936,14597.0
20,1,2,rul,16,0.4549876630243215,0.8121958202118523,90.0,310.0,21.854071201973916,2.0,0.07777777777777778,21.148618420445978,14185.0
20,1,2,risk_gated,0.5,0.5208682008368201,0.7966666666666666,12.0,388.0,25.36610878661088,71.0,0.6666666666666666,44.09650033646233,15296.0
20,1,2,rul_gated,16,0.4612300559116323,0.811441850171517,74.0,326.0,22.228283103777443,14.0,0.013513513513513514,16.746718755833218,14666.0
2,1,3,reactive,,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,3,periodic,60,0.06270825688073395,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
2,1,3,risk,0.8,0.0651147454497494,0.7942593756547245,9.0,391.0,25.7847533632287,73.0,1.0,62.05788654938129,15164.0
2,1,3,rul,8,0.06090039467522911,0.8108152085480285,64.0,336.0,22.476419827413206,19.0,0.0,12.222287842835684,14949.0
2,1,3,risk_gated,0.8,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,3,rul_gated,8,0.062270966047153084,0.8043420844118113,37.0,363.0,23.83923294148552,42.0,0.0,9.118247440697361,15227.0
5,1,3,reactive,,0.14251473731942735,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
5,1,3,periodic,60,0.12788256880733945,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
5,1,3,risk,0.5,0.1411764705882353,0.7957446808510639,38.0,362.0,25.140634766303215,62.0,0.868421052631579,57.43349078919013,14399.0
5,1,3,rul,16,0.12681276865619054,0.8126324228368551,91.0,309.0,21.774364033542387,2.0,0.08791208791208792,21.16655625007956,14191.0
5,1,3,risk_gated,0.5,0.14082090537151906,0.7961542502889566,15.0,385.0,25.405833443315295,71.0,0.8,51.36902524011661,15154.0
5,1,3,rul_gated,16,0.1281349935360958,0.8110479554108493,72.0,328.0,22.317479757773697,17.0,0.041666666666666664,17.089254339790315,14697.0
10,1,3,reactive,,0.27207358942799764,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
10,1,3,periodic,40,0.23699082568807336,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
10,1,3,risk,0.5,0.26687964441975137,0.7957446808510639,38.0,362.0,25.140634766303215,62.0,0.868421052631579,57.43349078919013,14399.0
10,1,3,rul,16,0.23568458882390247,0.8126324228368551,91.0,309.0,21.774364033542387,2.0,0.08791208791208792,21.16655625007956,14191.0
10,1,3,risk_gated,0.5,0.26785007258809557,0.7961542502889566,15.0,385.0,25.405833443315295,71.0,0.8,51.36902524011661,15154.0
10,1,3,rul_gated,16,0.23972239232496426,0.8110479554108493,72.0,328.0,22.317479757773697,17.0,0.041666666666666664,17.089254339790315,14697.0
20,1,3,reactive,,0.5311912936451383,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
20,1,3,periodic,40,0.4461651376146789,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
20,1,3,risk,0.5,0.5182859920827836,0.7957446808510639,38.0,362.0,25.140634766303215,62.0,0.868421052631579,57.43349078919013,14399.0
20,1,3,rul,16,0.45342822915932635,0.8126324228368551,91.0,309.0,21.774364033542387,2.0,0.08791208791208792,21.16655625007956,14191.0
20,1,3,risk_gated,0.5,0.5219084070212485,0.7961542502889566,15.0,385.0,25.405833443315295,71.0,0.8,51.36902524011661,15154.0
20,1,3,rul_gated,16,0.46289718990270123,0.8110479554108493,72.0,328.0,22.317479757773697,17.0,0.041666666666666664,17.089254339790315,14697.0
2,1,4,reactive,,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,4,periodic,60,0.06270825688073395,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
2,1,4,risk,0.8,0.0651147454497494,0.7942593756547245,9.0,391.0,25.7847533632287,73.0,1.0,62.05788654938129,15164.0
2,1,4,rul,8,0.060488197424892705,0.8125544899738448,70.0,330.0,22.129828326180256,14.0,0.0,12.200495393437837,14912.0
2,1,4,risk_gated,0.8,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,4,rul_gated,8,0.06213604995070654,0.8048986933291012,39.0,361.0,23.726585606309563,40.0,0.0,9.005487011218952,15215.0
5,1,4,reactive,,0.14251473731942735,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
5,1,4,periodic,60,0.12788256880733945,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
5,1,4,risk,0.5,0.14109908181444428,0.7958337877631149,32.0,368.0,25.215842126901467,64.0,0.8125,55.00779215150634,14594.0
5,1,4,rul,16,0.12669019054340155,0.8127796260181255,92.0,308.0,21.73606210303458,1.0,0.07608695652173914,21.182790785087434,14170.0
5,1,4,risk_gated,0.5,0.14052356020942408,0.7964970809007507,12.0,388.0,25.392670157068064,71.0,0.5833333333333334,38.80477779754974,15280.0
5,1,4,rul_gated,16,0.12765840974408102,0.8116183494390758,76.0,324.0,22.17052141781853,13.0,0.039473684210526314,17.18252589302878,14614.0
10,1,4,reactive,,0.27207358942799764,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
10,1,4,periodic,40,0.23699082568807336,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
10,1,4,risk,0.5,0.26717829244895164,0.7958337877631149,32.0,368.0,25.215842126901467,64.0,0.8125,55.00779215150634,14594.0
10,1,4,rul,16,0.23537050105857443,0.8127796260181255,92.0,308.0,21.73606210303458,1.0,0.07608695652173914,21.182790785087434,14170.0
10,1,4,risk_gated,0.5,0.2674869109947644,0.7964970809007507,12.0,388.0,25.392670157068064,71.0,0.5833333333333334,38.80477779754974,15280.0
10,1,4,rul_gated,16,0.23851101683317366,0.8116183494390758,76.0,324.0,22.17052141781853,13.0,0.039473684210526314,17.18252589302878,14614.0
