ratio,seed,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
10,3,strict_rul_selected,0.27009038619556286,0.7763129917074207,237.0,163.0,22.32265132840318,0.008438818565400843,14.557639336168878,7302.0,1972.2
10,4,strict_rul_selected,0.29817657090384364,0.7635981167985576,205.0,195.0,25.58048012593467,0.004878048780487805,14.361270825768134,7623.0,2273.0
10,0,raw_wear_selected,0.27883193990064215,0.7758766569521481,202.0,198.0,23.991275899672846,0.0,11.775668921686266,8253.0,2301.2
10,1,raw_wear_selected,0.2918967509952485,0.7674189415590815,205.0,195.0,25.041736227045075,0.0,12.005401225249805,7787.0,2273.0
10,2,raw_wear_selected,0.283876607968028,0.772354586669239,205.0,195.0,24.353690520794306,0.0,11.952311194197184,8007.0,2273.0
10,3,raw_wear_selected,0.2745551601423487,0.7765495459928938,217.0,183.0,23.258769700050838,0.0,11.576850514431042,7868.0,2160.2
10,4,raw_wear_selected,0.3065766871165644,0.7615398990842833,181.0,219.0,26.87116564417178,0.0,11.395577357879029,8150.0,2498.6
10,0,wear_torque_selected,0.2889111460867077,0.7652469068214168,232.0,168.0,24.037773644298184,0.09482758620689655,19.136686826416003,6989.0,2019.2
10,1,wear_torque_selected,0.3287071956554533,0.7440790212145022,215.0,185.0,27.90767838286318,0.14883720930232558,19.041084249680278,6629.0,2179.0
10,2,wear_torque_selected,0.2840405226838937,0.7667454688731284,241.0,159.0,23.344589634414916,0.14107883817427386,18.298181669530386,6811.0,1934.6
10,3,wear_torque_selected,0.30277191925278696,0.7565534533850011,233.0,167.0,25.158180174751433,0.1072961373390558,18.37872342217338,6638.0,2009.8
10,4,wear_torque_selected,0.3199434628975265,0.7505038718574308,206.0,194.0,27.420494699646643,0.1407766990291262,18.615731332906194,7075.0,2263.6
10,0,periodic_fine_selected,0.39397266674453923,0.7220207472379185,88.0,312.0,36.4443406144142,0.32954545454545453,22.471446687097817,8561.0,3372.8
10,1,periodic_fine_selected,0.43098977811019695,0.7043020193151888,79.0,321.0,40.0149588631264,0.43037974683544306,27.6699793849337,8022.0,3457.4
10,2,periodic_fine_selected,0.408290033065659,0.7154444068942211,79.0,321.0,37.90741615493623,0.2911392405063291,23.09124079644979,8468.0,3457.4
10,3,periodic_fine_selected,0.4284107579462103,0.7059026579219883,74.0,326.0,39.85330073349633,0.43243243243243246,27.467435002743162,8180.0,3504.4
10,4,periodic_fine_selected,0.4328477151039721,0.7035479632063075,77.0,323.0,40.21915079068609,0.4935064935064935,28.813899012375074,8031.0,3476.2
10,0,oracle_wear_final,0.23851136013159246,0.8020944998763091,200.0,200.0,20.56132414927521,0.0,5.020267345722037,9727.0,2320.0
10,1,oracle_wear_final,0.255823074408977,0.7910885115918297,197.0,203.0,22.115698877873406,0.005076142131979695,5.781340710664509,9179.0,2348.2
10,2,oracle_wear_final,0.23892689183411717,0.8007531667237248,209.0,191.0,20.414707139803333,0.014354066985645933,6.377011634698377,9356.0,2235.4
10,3,oracle_wear_final,0.23149807938540332,0.8048780487804879,216.0,184.0,19.632949210414,0.009259259259259259,5.729061026797228,9372.0,2169.6
10,4,oracle_wear_final,0.26496829214957357,0.7861440605122916,189.0,211.0,23.070194620599167,0.0,6.563116616195945,9146.0,2423.4
20,0,rul_base,0.5031146835079661,0.7714538810762928,242.0,158.0,22.67834074924645,0.045454545454545456,17.921164217741378,6967.0,3505.2
20,1,rul_base,0.5599701937406856,0.7558008560486597,229.0,171.0,25.484351713859912,0.05240174672489083,17.222559117174885,6710.0,3757.4
20,2,rul_base,0.4887380073800738,0.7734901244434296,252.0,148.0,21.8450184501845,0.07539682539682539,17.740555488998748,6775.0,3311.2
20,3,rul_base,0.49574306923193456,0.7703349282296651,254.0,146.0,22.117860930162095,0.07086614173228346,17.557895998644785,6601.0,3272.4
20,4,rul_base,0.5494269340974212,0.7603485838779956,225.0,175.0,25.07163323782235,0.10666666666666667,17.637848418496116,6980.0,3835.0
20,0,shap_gate,0.5758711127763207,0.7606155599886008,185.0,215.0,26.851504933183463,0.032432432432432434,15.007687438753344,8007.0,4611.0
20,1,shap_gate,0.6327592805204745,0.7463581833761782,167.0,233.0,29.72317897691032,0.029940119760479042,14.370487945621484,7839.0,4960.2
20,2,shap_gate,0.6038708055799925,0.7537179122856872,175.0,225.0,28.27698881487998,0.045714285714285714,14.566681939699873,7957.0,4805.0
20,3,shap_gate,0.631128010139417,0.7470176103010794,166.0,234.0,29.657794676806084,0.04216867469879518,15.5735176651425,7890.0,4979.6
20,4,shap_gate,0.6590828924162258,0.7408997573268621,153.0,247.0,31.116150163769213,0.06535947712418301,16.14612532892597,7938.0,5231.8
20,0,strict_rul_selected,0.5147944488085886,0.7732334480664103,220.0,180.0,23.566378633150038,0.004545454545454545,14.78209078035968,7638.0,3932.0
20,1,strict_rul_selected,0.5336333878887071,0.766624843161857,221.0,179.0,24.41352973267867,0.0,14.371276756973705,7332.0,3912.6
20,2,strict_rul_selected,0.49940907869997314,0.775786622212961,231.0,169.0,22.69674993284985,0.004329004329004329,14.936140363399488,7446.0,3718.6
20,3,strict_rul_selected,0.4933168994795946,0.7763129917074207,237.0,163.0,22.32265132840318,0.008438818565400843,14.557639336168878,7302.0,3602.2
20,4,strict_rul_selected,0.5539813721631903,0.7635981167985576,205.0,195.0,25.58048012593467,0.004878048780487805,14.361270825768134,7623.0,4223.0
20,0,raw_wear_selected,0.5187446988973706,0.7758766569521481,202.0,198.0,23.991275899672846,0.0,11.775668921686266,8253.0,4281.2
20,1,raw_wear_selected,0.5423141132656992,0.7674189415590815,205.0,195.0,25.041736227045075,0.0,12.005401225249805,7787.0,4223.0
